,work_importance,religion_importance,overall_hapineess,overal_satisfaction_work,free_to_choose,life_satisfaction,pay_important_job,people _important_job,no_pressure_important_job,security_important_job,promotion_important_job,hours_important_job,usefulness_important_job,holidays_important_job,achieving_important_job,responsible_important_job,interesting_important_job,sex,age,marital_status,highest_educ_lvl,employment_status,numb_employees_organisation,job_type,duration_unemployment,country
3045,quite important,not at all important,very happy,9,10,10,mentioned,mentioned,mentioned,mentioned,not mentioned,mentioned,not mentioned,mentioned,mentioned,not mentioned,mentioned,female,20.0,never married,"2nd, interm general qualification",30h a week or more,10-24,junior level non-manual -office worker etc,,Germany
3046,very important,not at all important,quite happy,6,7,8,not mentioned,mentioned,not mentioned,mentioned,not mentioned,mentioned,not mentioned,not mentioned,mentioned,mentioned,mentioned,female,55.0,divorced,compl compulsory education,30h a week or more,25-49,junior level non-manual -office worker etc,,Germany
3047,not at all important,quite important,very happy,0,10,10,mentioned,mentioned,not mentioned,mentioned,not mentioned,mentioned,mentioned,not mentioned,mentioned,not mentioned,mentioned,female,80.0,married,"2nd, interm general qualification",retired/pensioned,,junior level non-manual -office worker etc,,Germany
3048,quite important,not at all important,very happy,0,10,10,mentioned,mentioned,not mentioned,mentioned,not mentioned,mentioned,mentioned,not mentioned,mentioned,mentioned,mentioned,female,25.0,married,"2nd, interm general qualification",housewife,,,,Germany
3049,quite important,not at all important,quite happy,0,9,7,not mentioned,mentioned,not mentioned,not mentioned,mentioned,not mentioned,not mentioned,not mentioned,mentioned,mentioned,mentioned,male,25.0,never married,full 2nd maturity level certificate,student,,,,Germany
3050,very important,quite important,very happy,10,10,10,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,mentioned,not mentioned,mentioned,mentioned,mentioned,female,43.0,married,higher educ- upper-level 3d certificate,30h a week or more,1000-2499,junior level non-manual -office worker etc,,Germany
3051,very important,not at all important,very happy,10,9,10,mentioned,mentioned,not mentioned,mentioned,not mentioned,mentioned,not mentioned,mentioned,mentioned,not mentioned,mentioned,female,31.0,married,"2nd, interm general qualification",less then 30h a week,25-49,junior level non-manual -office worker etc,,Germany
3052,very important,not at all important,not very happy,0,8,4,mentioned,mentioned,not mentioned,mentioned,not mentioned,mentioned,not mentioned,mentioned,mentioned,not mentioned,mentioned,female,48.0,married,"2nd, interm general qualification",unemployed,,,one -two years,Germany
3053,not at all important,not at all important,quite happy,0,10,10,mentioned,mentioned,mentioned,mentioned,not mentioned,mentioned,not mentioned,mentioned,mentioned,not mentioned,mentioned,female,75.0,widowed,compl compulsory education,retired/pensioned,,skilled manual worker,,Germany
3054,quite important,,not very happy,0,7,4,not mentioned,not mentioned,not mentioned,mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,male,55.0,separated,compl compulsory education,unemployed,,,half a year -one year,Germany
3055,not important,not at all important,very happy,0,10,10,mentioned,mentioned,not mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,female,65.0,married,higher educ- upper-level 3d certificate,retired/pensioned,,junior level non-manual -office worker etc,,Germany
3056,very important,not important,not very happy,0,8,4,not mentioned,mentioned,not mentioned,mentioned,not mentioned,mentioned,mentioned,not mentioned,mentioned,mentioned,mentioned,female,53.0,married,compl compulsory education,unemployed,,,one -two years,Germany
3057,quite important,not at all important,very happy,0,8,8,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,mentioned,male,78.0,married,"2nd, interm general qualification",retired/pensioned,,,,Germany
3058,very important,quite important,very happy,0,10,10,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,mentioned,male,66.0,married,full 2nd maturity level certificate,retired/pensioned,,foreman and supervisor,,Germany
3059,quite important,quite important,very happy,10,8,8,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,mentioned,not mentioned,not mentioned,not mentioned,not mentioned,female,64.0,widowed,full 2nd maturity level certificate,less then 30h a week,50-99,junior level non-manual -office worker etc,,Germany
3060,quite important,very important,very happy,0,5,9,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,mentioned,not mentioned,not mentioned,not mentioned,not mentioned,female,75.0,widowed,compl compulsory education,retired/pensioned,,junior level non-manual -office worker etc,,Germany
3061,very important,not at all important,not very happy,0,5,8,not mentioned,mentioned,not mentioned,not mentioned,mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,male,60.0,married,compl compulsory education,retired/pensioned,,middle level non-manual -office worker etc,,Germany
3062,quite important,quite important,very happy,0,10,10,mentioned,mentioned,not mentioned,mentioned,mentioned,not mentioned,not mentioned,not mentioned,mentioned,mentioned,mentioned,female,60.0,married,compl compulsory education,retired/pensioned,,middle level non-manual -office worker etc,,Germany
3063,not important,not at all important,quite happy,0,8,8,mentioned,mentioned,not mentioned,mentioned,not mentioned,mentioned,not mentioned,not mentioned,mentioned,not mentioned,not mentioned,female,57.0,married,compl compulsory education,retired/pensioned,,junior level non-manual -office worker etc,,Germany
3064,quite important,not at all important,very happy,0,8,8,mentioned,not mentioned,not mentioned,mentioned,not mentioned,not mentioned,not mentioned,not mentioned,mentioned,not mentioned,mentioned,female,24.0,married,full 2nd maturity level certificate,housewife,,,,Germany
3065,not important,not at all important,very happy,0,9,9,not mentioned,not mentioned,not mentioned,mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,female,80.0,widowed,compl compulsory education,retired/pensioned,,skilled manual worker,,Germany
3066,quite important,not at all important,quite happy,0,8,8,mentioned,not mentioned,not mentioned,mentioned,not mentioned,not mentioned,not mentioned,not mentioned,mentioned,not mentioned,mentioned,male,62.0,married,full 2nd maturity level certificate,retired/pensioned,,middle level non-manual -office worker etc,,Germany
3067,very important,not important,quite happy,7,7,7,not mentioned,not mentioned,not mentioned,mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,mentioned,female,44.0,divorced,"2nd, interm general qualification",30h a week or more,,junior level non-manual -office worker etc,,Germany
3068,very important,not important,quite happy,8,6,8,mentioned,not mentioned,not mentioned,mentioned,not mentioned,mentioned,not mentioned,not mentioned,mentioned,mentioned,not mentioned,female,35.0,married,"2nd, interm general qualification",30h a week or more,10-24,junior level non-manual -office worker etc,,Germany
3069,very important,quite important,quite happy,8,6,8,not mentioned,not mentioned,not mentioned,mentioned,not mentioned,not mentioned,not mentioned,not mentioned,mentioned,not mentioned,not mentioned,female,20.0,never married,"2nd, interm general qualification",30h a week or more,2-9,junior level non-manual -office worker etc,,Germany
3070,very important,not at all important,not very happy,3,6,3,mentioned,not mentioned,not mentioned,mentioned,not mentioned,mentioned,not mentioned,not mentioned,mentioned,not mentioned,not mentioned,female,35.0,divorced,"2nd, interm general qualification",30h a week or more,2-9,junior level non-manual -office worker etc,,Germany
3071,quite important,not at all important,quite happy,6,6,6,mentioned,not mentioned,not mentioned,mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,mentioned,not mentioned,male,22.0,never married,"2nd, interm general qualification",30h a week or more,,skilled manual worker,,Germany
3072,very important,quite important,very happy,7,9,10,mentioned,mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,mentioned,not mentioned,not mentioned,female,33.0,married,"2nd, interm general qualification",30h a week or more,2-9,skilled manual worker,,Germany
3073,very important,quite important,quite happy,0,7,7,mentioned,mentioned,not mentioned,not mentioned,mentioned,mentioned,not mentioned,not mentioned,mentioned,not mentioned,not mentioned,female,68.0,married,compl compulsory education,retired/pensioned,,"farmer: employer, manager or own account",,Germany
3074,very important,quite important,very happy,0,7,7,mentioned,mentioned,not mentioned,mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,male,72.0,married,compl compulsory education,retired/pensioned,,semi-skilled manual worker,,Germany
3075,quite important,not important,quite happy,8,8,9,mentioned,not mentioned,not mentioned,mentioned,mentioned,mentioned,mentioned,not mentioned,not mentioned,not mentioned,mentioned,male,47.0,married,"2nd, interm general qualification",30h a week or more,25-49,skilled manual worker,,Germany
3076,very important,quite important,quite happy,0,8,9,mentioned,mentioned,not mentioned,not mentioned,mentioned,mentioned,mentioned,not mentioned,mentioned,not mentioned,not mentioned,female,62.0,married,compl compulsory education,retired/pensioned,,skilled manual worker,,Germany
3077,very important,not important,quite happy,5,8,8,mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,mentioned,not mentioned,not mentioned,male,29.0,married,"2nd, interm general qualification",30h a week or more,100-249,skilled manual worker,,Germany
3078,very important,not at all important,quite happy,8,7,9,mentioned,not mentioned,not mentioned,not mentioned,mentioned,not mentioned,not mentioned,not mentioned,mentioned,not mentioned,not mentioned,male,37.0,married,"2nd, interm general qualification",30h a week or more,,middle level non-manual -office worker etc,,Germany
3079,quite important,not at all important,quite happy,7,7,8,not mentioned,mentioned,not mentioned,mentioned,not mentioned,mentioned,not mentioned,not mentioned,not mentioned,not mentioned,mentioned,female,46.0,married,"2nd, interm general qualification",30h a week or more,50-99,semi-skilled manual worker,,Germany
3080,quite important,not important,quite happy,8,7,8,not mentioned,not mentioned,not mentioned,mentioned,not mentioned,not mentioned,not mentioned,not mentioned,mentioned,not mentioned,mentioned,female,37.0,married,"2nd, interm general qualification",30h a week or more,500-999,junior level non-manual -office worker etc,,Germany
3081,not at all important,quite important,quite happy,0,7,8,mentioned,not mentioned,not mentioned,mentioned,not mentioned,not mentioned,not mentioned,not mentioned,mentioned,not mentioned,not mentioned,female,70.0,widowed,compl compulsory education,retired/pensioned,,skilled manual worker,,Germany
3082,not at all important,not at all important,not very happy,0,6,7,not mentioned,not mentioned,not mentioned,mentioned,not mentioned,not mentioned,mentioned,not mentioned,mentioned,mentioned,mentioned,male,70.0,married,higher educ- upper-level 3d certificate,retired/pensioned,,middle level non-manual -office worker etc,,Germany
3083,very important,not at all important,not very happy,0,5,4,,mentioned,mentioned,mentioned,,,,mentioned,mentioned,,mentioned,female,24.0,never married,"2nd, interm general qualification",unemployed,,,two years,Germany
3084,not at all important,,,0,2,4,mentioned,not mentioned,not mentioned,mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,mentioned,female,68.0,married,compl compulsory education,retired/pensioned,,agricultural worker,,Germany
3085,very important,not important,quite happy,0,7,7,not mentioned,mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,female,60.0,widowed,full 2nd maturity level certificate,retired/pensioned,,middle level non-manual -office worker etc,,Germany
3086,very important,not important,quite happy,9,8,9,not mentioned,not mentioned,not mentioned,not mentioned,mentioned,not mentioned,mentioned,not mentioned,mentioned,mentioned,mentioned,male,42.0,divorced,higher educ- upper-level 3d certificate,30h a week or more,,junior level non-manual -office worker etc,,Germany
3087,very important,quite important,quite happy,7,6,6,mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,mentioned,female,59.0,married,compl compulsory education,self employed,,employer/manager of establ with less than 10 employees,,Germany
3088,quite important,not at all important,not very happy,8,6,5,not mentioned,not mentioned,not mentioned,mentioned,not mentioned,not mentioned,mentioned,not mentioned,mentioned,mentioned,not mentioned,male,55.0,married,higher educ- upper-level 3d certificate,30h a week or more,2500 and more,middle level non-manual -office worker etc,,Germany
3089,very important,not at all important,quite happy,0,6,7,not mentioned,mentioned,not mentioned,not mentioned,mentioned,not mentioned,mentioned,not mentioned,mentioned,mentioned,mentioned,female,23.0,never married,full 2nd maturity level certificate,student,,,,Germany
3090,very important,not at all important,quite happy,7,5,4,mentioned,mentioned,not mentioned,mentioned,not mentioned,not mentioned,mentioned,not mentioned,not mentioned,mentioned,mentioned,male,37.0,divorced,"2nd, interm general qualification",30h a week or more,,skilled manual worker,,Germany
3091,very important,not at all important,quite happy,0,5,7,mentioned,mentioned,not mentioned,mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,mentioned,male,18.0,never married,"2nd, interm general qualification",other,,,,Germany
3092,quite important,not important,very happy,9,7,9,not mentioned,mentioned,not mentioned,mentioned,not mentioned,mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,female,54.0,married,higher educ- upper-level 3d certificate,30h a week or more,500-999,middle level non-manual -office worker etc,,Germany
3093,very important,not at all important,quite happy,0,4,4,not mentioned,not mentioned,not mentioned,mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,mentioned,not mentioned,male,56.0,married,higher educ- upper-level 3d certificate,unemployed,,,one -two years,Germany
3094,quite important,not important,quite happy,0,4,8,mentioned,mentioned,not mentioned,mentioned,not mentioned,not mentioned,not mentioned,not mentioned,mentioned,mentioned,mentioned,female,19.0,never married,full 2nd maturity level certificate,student,,,,Germany
3095,not important,not at all important,quite happy,7,5,6,not mentioned,mentioned,mentioned,not mentioned,not mentioned,mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,female,23.0,never married,"2nd, interm general qualification",30h a week or more,10-24,skilled manual worker,,Germany
3096,very important,not important,very happy,0,7,8,not mentioned,not mentioned,not mentioned,mentioned,mentioned,not mentioned,mentioned,not mentioned,mentioned,mentioned,mentioned,male,25.0,married,higher educ- upper-level 3d certificate,other,,,,Germany
3097,very important,not important,quite happy,8,8,9,mentioned,mentioned,not mentioned,mentioned,not mentioned,mentioned,not mentioned,not mentioned,mentioned,not mentioned,mentioned,male,44.0,married,"2nd, interm general qualification",30h a week or more,10-24,,,Germany
3098,very important,quite important,quite happy,10,7,8,mentioned,mentioned,not mentioned,mentioned,mentioned,not mentioned,not mentioned,not mentioned,not mentioned,mentioned,mentioned,male,50.0,married,"2nd, interm general qualification",30h a week or more,25-49,skilled manual worker,,Germany
3099,quite important,not at all important,very happy,0,9,8,mentioned,mentioned,not mentioned,mentioned,mentioned,not mentioned,not mentioned,not mentioned,mentioned,mentioned,mentioned,female,70.0,married,higher educ- upper-level 3d certificate,retired/pensioned,,middle level non-manual -office worker etc,,Germany
3100,very important,not important,quite happy,10,9,7,mentioned,mentioned,not mentioned,mentioned,not mentioned,mentioned,not mentioned,not mentioned,not mentioned,not mentioned,mentioned,male,49.0,married,"2nd, interm general qualification",30h a week or more,10-24,skilled manual worker,,Germany
3101,not important,not important,quite happy,6,7,5,mentioned,mentioned,not mentioned,mentioned,mentioned,mentioned,not mentioned,not mentioned,mentioned,mentioned,mentioned,male,33.0,married,full 2nd maturity level certificate,30h a week or more,,skilled manual worker,,Germany
3102,very important,very important,quite happy,0,8,8,mentioned,mentioned,not mentioned,mentioned,not mentioned,not mentioned,mentioned,not mentioned,mentioned,mentioned,mentioned,female,53.0,never married,higher educ- upper-level 3d certificate,retired/pensioned,,middle level non-manual -office worker etc,,Germany
3103,very important,not at all important,quite happy,10,7,8,mentioned,mentioned,not mentioned,mentioned,not mentioned,mentioned,mentioned,not mentioned,mentioned,not mentioned,mentioned,female,54.0,married,"2nd, interm general qualification",30h a week or more,,semi-skilled manual worker,,Germany
3104,very important,not at all important,very happy,0,7,9,mentioned,mentioned,not mentioned,mentioned,mentioned,not mentioned,mentioned,not mentioned,not mentioned,mentioned,mentioned,female,59.0,married,full 2nd maturity level certificate,unemployed,,,two years,Germany
3105,very important,not at all important,very happy,0,5,9,mentioned,mentioned,not mentioned,mentioned,not mentioned,mentioned,mentioned,not mentioned,mentioned,not mentioned,mentioned,female,40.0,married,compl compulsory education,unemployed,,,less than half a year,Germany
3106,very important,not important,quite happy,0,8,9,not mentioned,mentioned,not mentioned,mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,male,80.0,married,"2nd, interm general qualification",retired/pensioned,,middle level non-manual -office worker etc,,Germany
3107,very important,quite important,very happy,0,7,9,mentioned,mentioned,not mentioned,mentioned,mentioned,not mentioned,not mentioned,not mentioned,not mentioned,mentioned,mentioned,female,48.0,married,higher educ- upper-level 3d certificate,retired/pensioned,,junior level non-manual -office worker etc,,Germany
3108,very important,very important,not very happy,10,8,6,mentioned,mentioned,mentioned,mentioned,not mentioned,not mentioned,mentioned,mentioned,not mentioned,mentioned,mentioned,male,48.0,married,"2nd, interm general qualification",30h a week or more,,skilled manual worker,,Germany
3109,very important,very important,quite happy,10,8,8,not mentioned,mentioned,not mentioned,mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,mentioned,male,36.0,never married,full 2nd maturity level certificate,30h a week or more,,junior level non-manual -office worker etc,,Germany
3110,very important,not at all important,not very happy,0,8,7,mentioned,mentioned,not mentioned,mentioned,not mentioned,not mentioned,mentioned,not mentioned,not mentioned,not mentioned,mentioned,female,51.0,married,"2nd, interm general qualification",retired/pensioned,,junior level non-manual -office worker etc,,Germany
3111,very important,very important,quite happy,0,7,7,mentioned,mentioned,not mentioned,mentioned,not mentioned,mentioned,not mentioned,not mentioned,not mentioned,not mentioned,mentioned,female,46.0,married,"2nd, interm general qualification",unemployed,,,half a year -one year,Germany
3112,not at all important,not important,quite happy,0,6,8,mentioned,mentioned,not mentioned,mentioned,not mentioned,not mentioned,mentioned,not mentioned,mentioned,not mentioned,mentioned,male,62.0,married,compl compulsory education,retired/pensioned,,skilled manual worker,,Germany
3113,quite important,quite important,quite happy,8,3,8,not mentioned,mentioned,not mentioned,mentioned,not mentioned,not mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,female,49.0,married,full 2nd maturity level certificate,less then 30h a week,25-49,middle level non-manual -office worker etc,,Germany
3114,quite important,quite important,,0,4,7,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,male,65.0,married,compl compulsory education,retired/pensioned,,junior level non-manual -office worker etc,,Germany
3115,quite important,not at all important,very happy,0,6,9,mentioned,mentioned,not mentioned,mentioned,mentioned,not mentioned,not mentioned,not mentioned,mentioned,not mentioned,mentioned,female,78.0,widowed,compl compulsory education,retired/pensioned,,junior level non-manual -office worker etc,,Germany
3116,very important,not at all important,quite happy,8,5,10,mentioned,mentioned,not mentioned,mentioned,mentioned,not mentioned,mentioned,not mentioned,mentioned,mentioned,mentioned,male,19.0,never married,"2nd, interm general qualification",30h a week or more,2-9,junior level non-manual -office worker etc,,Germany
3117,very important,not at all important,quite happy,1,4,6,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,female,35.0,married,"2nd, interm general qualification",30h a week or more,2-9,junior level non-manual -office worker etc,,Germany
3118,very important,not at all important,not very happy,5,5,5,mentioned,mentioned,not mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,male,39.0,married,"2nd, interm general qualification",30h a week or more,10-24,junior level non-manual -office worker etc,,Germany
3119,very important,not at all important,very happy,9,9,10,mentioned,not mentioned,not mentioned,mentioned,not mentioned,not mentioned,mentioned,not mentioned,mentioned,mentioned,mentioned,female,29.0,married,"2nd, interm general qualification",30h a week or more,10-24,junior level non-manual -office worker etc,,Germany
3120,very important,not important,quite happy,7,10,6,mentioned,mentioned,not mentioned,mentioned,not mentioned,not mentioned,not mentioned,mentioned,not mentioned,mentioned,mentioned,male,24.0,never married,compl compulsory education,30h a week or more,2-9,junior level non-manual -office worker etc,,Germany
3121,very important,not important,quite happy,10,3,7,not mentioned,mentioned,not mentioned,mentioned,mentioned,mentioned,mentioned,not mentioned,mentioned,mentioned,mentioned,female,27.0,never married,"2nd, interm general qualification",30h a week or more,10-24,junior level non-manual -office worker etc,,Germany
3122,quite important,not at all important,not very happy,0,9,1,mentioned,not mentioned,not mentioned,mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,mentioned,mentioned,male,56.0,married,compl compulsory education,unemployed,,,+ two years,Germany
3123,very important,not at all important,very happy,0,0,10,not mentioned,mentioned,mentioned,mentioned,not mentioned,mentioned,mentioned,not mentioned,mentioned,mentioned,mentioned,male,20.0,never married,"2nd, interm general qualification",student,,,,Germany
3124,quite important,not at all important,not very happy,0,10,1,mentioned,not mentioned,not mentioned,mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,male,31.0,never married,"2nd, interm general qualification",unemployed,,,less than half a year,Germany
3125,quite important,not at all important,quite happy,0,5,10,not mentioned,mentioned,mentioned,mentioned,not mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,not mentioned,male,45.0,never married,"2nd, interm general qualification",unemployed,,,+ two years,Germany
3126,very important,not at all important,quite happy,10,9,5,mentioned,mentioned,not mentioned,mentioned,not mentioned,not mentioned,mentioned,not mentioned,mentioned,mentioned,mentioned,male,29.0,never married,"2nd, interm general qualification",30h a week or more,2-9,skilled manual worker,,Germany
3127,quite important,not at all important,quite happy,0,8,5,not mentioned,not mentioned,not mentioned,mentioned,not mentioned,not mentioned,mentioned,not mentioned,mentioned,not mentioned,not mentioned,male,63.0,married,compl compulsory education,retired/pensioned,,skilled manual worker,,Germany
3128,very important,quite important,very happy,0,10,10,not mentioned,not mentioned,mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,mentioned,mentioned,female,59.0,married,compl compulsory education,retired/pensioned,,middle level non-manual -office worker etc,,Germany
3129,very important,not at all important,not very happy,7,4,4,mentioned,mentioned,not mentioned,mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,mentioned,mentioned,male,44.0,divorced,higher educ- upper-level 3d certificate,30h a week or more,2-9,junior level non-manual -office worker etc,,Germany
3130,not at all important,not at all important,not very happy,0,6,6,mentioned,mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,mentioned,not mentioned,female,79.0,widowed,compl compulsory education,retired/pensioned,,junior level non-manual -office worker etc,,Germany
3131,very important,not at all important,very happy,0,7,7,mentioned,mentioned,not mentioned,mentioned,not mentioned,mentioned,mentioned,not mentioned,mentioned,mentioned,mentioned,female,60.0,married,compl compulsory education,retired/pensioned,,junior level non-manual -office worker etc,,Germany
3132,very important,,not at all happy,8,8,5,not mentioned,not mentioned,not mentioned,mentioned,not mentioned,not mentioned,not mentioned,not mentioned,mentioned,not mentioned,not mentioned,female,39.0,separated,full 2nd maturity level certificate,30h a week or more,10-24,junior level non-manual -office worker etc,,Germany
3133,very important,not at all important,quite happy,0,10,8,mentioned,mentioned,not mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,male,35.0,never married,"2nd, interm general qualification",unemployed,,,+ two years,Germany
3134,very important,not important,quite happy,0,5,5,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,not mentioned,mentioned,mentioned,mentioned,mentioned,female,20.0,never married,full 2nd maturity level certificate,student,,,,Germany
3135,quite important,very important,not at all happy,0,5,3,mentioned,not mentioned,not mentioned,mentioned,mentioned,not mentioned,mentioned,not mentioned,mentioned,mentioned,not mentioned,female,18.0,never married,compl compulsory education,student,,,,Germany
3136,very important,not at all important,quite happy,10,6,10,mentioned,mentioned,mentioned,mentioned,not mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,male,45.0,married,"2nd, interm general qualification",30h a week or more,2-9,junior level non-manual -office worker etc,,Germany
3137,very important,quite important,quite happy,6,6,6,mentioned,mentioned,not mentioned,mentioned,not mentioned,mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,female,51.0,married,inadequate education,less then 30h a week,,junior level non-manual -office worker etc,,Germany
3138,very important,not important,quite happy,9,6,8,mentioned,not mentioned,not mentioned,mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,mentioned,male,40.0,married,"2nd, interm general qualification",30h a week or more,,skilled manual worker,,Germany
3139,quite important,not important,quite happy,0,5,3,not mentioned,mentioned,not mentioned,mentioned,not mentioned,mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,female,30.0,,"2nd, interm general qualification",other,,,,Germany
3140,very important,not at all important,very happy,8,8,8,mentioned,mentioned,not mentioned,mentioned,not mentioned,not mentioned,not mentioned,not mentioned,mentioned,mentioned,mentioned,male,36.0,married,inadequate education,30h a week or more,,junior level non-manual -office worker etc,,Germany
3141,very important,not at all important,quite happy,5,6,6,mentioned,mentioned,not mentioned,mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,mentioned,female,39.0,married,inadequate education,30h a week or more,,semi-skilled manual worker,,Germany
3142,very important,not at all important,quite happy,0,6,7,mentioned,mentioned,not mentioned,mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,mentioned,not mentioned,female,59.0,married,"2nd, interm general qualification",unemployed,,,+ two years,Germany
3143,very important,not important,quite happy,10,5,8,mentioned,mentioned,not mentioned,not mentioned,mentioned,not mentioned,not mentioned,not mentioned,mentioned,mentioned,mentioned,male,31.0,married,full 2nd maturity level certificate,self employed,,employer/manager of establ with less than 10 employees,,Germany
3144,very important,quite important,not very happy,0,10,5,not mentioned,mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,mentioned,male,23.0,never married,compl compulsory education,unemployed,,,half a year -one year,Germany
3145,not important,not at all important,quite happy,0,5,9,not mentioned,mentioned,not mentioned,mentioned,not mentioned,not mentioned,mentioned,not mentioned,not mentioned,mentioned,not mentioned,male,67.0,married,compl compulsory education,retired/pensioned,,skilled manual worker,,Germany
3146,very important,not important,quite happy,9,7,7,mentioned,mentioned,not mentioned,mentioned,not mentioned,not mentioned,mentioned,not mentioned,mentioned,mentioned,mentioned,female,32.0,never married,higher educ- upper-level 3d certificate,less then 30h a week,50-99,junior level non-manual -office worker etc,,Germany
3147,very important,not important,not very happy,8,8,8,not mentioned,mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,mentioned,mentioned,mentioned,female,49.0,married,compl compulsory education,30h a week or more,2-9,employer/manager of establ with less than 10 employees,,Germany
3148,very important,not at all important,not at all happy,0,10,1,not mentioned,not mentioned,not mentioned,mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,mentioned,mentioned,male,74.0,married,higher educ- upper-level 3d certificate,retired/pensioned,,junior level non-manual -office worker etc,,Germany
3149,very important,not at all important,quite happy,6,5,7,mentioned,mentioned,not mentioned,mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,mentioned,female,24.0,never married,"2nd, interm general qualification",30h a week or more,50-99,junior level non-manual -office worker etc,,Germany
3150,very important,not at all important,quite happy,7,6,7,mentioned,mentioned,not mentioned,mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,mentioned,male,39.0,divorced,"2nd, interm general qualification",30h a week or more,10-24,skilled manual worker,,Germany
3151,very important,not at all important,quite happy,0,5,5,mentioned,not mentioned,not mentioned,mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,mentioned,female,61.0,divorced,compl compulsory education,retired/pensioned,,semi-skilled manual worker,,Germany
3152,quite important,not at all important,quite happy,10,6,7,mentioned,not mentioned,not mentioned,mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,male,36.0,never married,"2nd, interm general qualification",self employed,,employer/manager of establ with less than 10 employees,,Germany
3153,very important,not at all important,very happy,10,8,10,not mentioned,mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,mentioned,mentioned,not mentioned,female,45.0,divorced,full 2nd maturity level certificate,30h a week or more,10-24,middle level non-manual -office worker etc,,Germany
